period,start,end,cagr,max_drawdown,sharpe,calmar,turnover,worst_year
2013-2016,2013-06-28,2016-12-30,0.07452524,-0.46813015,0.40479049,0.15919769,9.50000000,-0.12961358
2017-2019,2017-01-03,2019-12-31,0.08376452,-0.21265758,0.64875404,0.39389387,9.00000000,-0.09724720
2020-2022,2020-01-02,2022-12-30,-0.00776133,-0.35317315,0.05193571,-0.02197598,10.00000000,-0.16668130
2023-2026（伪样本外）,2023-01-03,2026-08-31,0.18646720,-0.18992969,0.93928764,0.98176959,9.50000000,0.05623316
