cost_bps,series,cagr,max_drawdown,sharpe,calmar,turnover,trade_count,average_holding_days,worst_year,target_change_count,annualized_target_change_count
15,S10A_20_10,0.08304497673331235,-0.1056280634367519,1.121756830166456,0.7862018296211415,8.779016629365112,285.0,2376.501754385965,-0.051064670574854865,171.0,12.001873558800922
30,S10A_20_10,0.08089332670123817,-0.10810598001942662,1.0946977562685873,0.7482780017044539,8.779016629365112,286.0,2368.2937062937062,-0.052224444188822106,171.0,12.001873558800922
50,S10A_20_10,0.07803951428002964,-0.11138822102549584,1.0583483132897766,0.7006083189188114,8.779016629365112,286.0,2368.2937062937062,-0.05376373136544277,171.0,12.001873558800922
