signal_date,eligible_asset_count,regime,maximum_weight,effective_number_assets
2012-05-31,0,FALLBACK,,
2012-06-29,0,FALLBACK,,
2012-07-31,0,FALLBACK,,
2012-08-31,0,FALLBACK,,
2012-09-28,0,FALLBACK,,
2012-10-31,0,FALLBACK,,
2012-11-30,0,FALLBACK,,
2012-12-31,0,FALLBACK,,
2013-01-31,0,FALLBACK,,
2013-02-28,0,FALLBACK,,
2013-03-29,0,FALLBACK,,
2013-04-26,0,FALLBACK,,
2013-05-31,0,FALLBACK,,
2013-06-28,0,FALLBACK,,
2013-07-31,0,FALLBACK,,
2013-08-30,0,FALLBACK,,
2013-09-30,0,FALLBACK,,
2013-10-31,0,FALLBACK,,
2013-11-29,0,FALLBACK,,
2013-12-31,0,FALLBACK,,
2014-01-30,0,FALLBACK,,
2014-02-28,0,FALLBACK,,
2014-03-31,0,FALLBACK,,
2014-04-30,6,RISK,0.2379454646005233,5.487428770574752
2014-05-30,6,RISK,0.28066549620282244,5.226083871519373
2014-06-30,6,RISK,0.27199348502538345,5.299690069093168
2014-07-31,6,RISK,0.2502996309545993,5.410686879528072
2014-08-29,6,RISK,0.24919659394455138,5.540809296212247
2014-09-30,6,RISK,0.3378153410800172,4.824068274499493
2014-10-31,6,RISK,0.36895299958477157,4.621593354471544
2014-11-28,6,RISK,0.25823642572670624,5.524627810743148
2014-12-31,7,RISK,0.21165755092637806,6.489878590020432
2015-01-30,7,RISK,0.2073489403307957,6.280298636876659
2015-02-27,7,RISK,0.23069571140198264,6.215961015808743
2015-03-31,7,RISK,0.2557588638556281,6.007078445178238
2015-04-30,7,RISK,0.28508410815916185,5.518098483498492
2015-05-29,7,RISK,0.2778246740384213,5.303799938123047
2015-06-30,7,RISK,0.33341615775963057,4.445561225871047
2015-07-31,7,RISK,0.2703611386929079,4.876074935542896
2015-08-31,7,RISK,0.362716499912079,4.6344752345721085
2015-09-30,7,RISK,0.3553967032766762,4.790068615995494
2015-10-30,7,RISK,0.42325849615998495,4.1727257346606175
2015-11-30,7,RISK,0.3620955502040285,4.848779061321526
2015-12-31,7,RISK,0.3022911587649073,5.516750738169016
2016-01-29,7,RISK,0.4375914962115431,3.9958929617079924
2016-02-29,7,RISK,0.41804052536238745,4.214837930316978
2016-03-31,7,RISK,0.40501928794189646,4.317649348969981
2016-04-29,7,RISK,0.3105138006865072,5.34537611540002
2016-05-31,7,RISK,0.24914212339737254,6.003442272260625
2016-06-30,7,RISK,0.2903140504704996,5.591319996883573
2016-07-29,7,RISK,0.3003128322947134,5.56965233826765
2016-08-31,7,RISK,0.284723504822186,5.879524941163053
2016-09-30,7,RISK,0.2724642574579929,6.064647008142475
2016-10-31,7,RISK,0.2608452446719238,6.168894855144545
2016-11-30,7,RISK,0.28448302061657643,5.794939516089658
2016-12-30,7,RISK,0.2971490045278901,5.715092161244642
2017-01-26,7,RISK,0.29801827329341124,5.701444392139483
2017-02-28,7,RISK,0.3027211146708303,5.679241117246261
2017-03-31,7,RISK,0.3061663368855879,5.553303489922066
2017-04-28,7,RISK,0.3251599915760204,5.393856067970358
2017-05-31,7,RISK,0.28611975029839903,5.839563868221426
2017-06-30,7,RISK,0.2668648176139291,6.14101098217949
2017-07-31,7,RISK,0.2739072866614049,5.990448687272756
2017-08-31,7,RISK,0.30893976352736746,5.331742921244097
2017-09-29,7,RISK,0.3176327016142238,5.3218749577719615
2017-10-31,7,RISK,0.356211575668084,5.032308535617984
2017-11-30,7,RISK,0.33363822047077235,5.220718433424004
2017-12-29,7,RISK,0.3932610484760925,4.591166506330226
2018-01-31,7,RISK,0.3273862573353684,5.430858830507319
2018-02-28,7,RISK,0.44645522790617853,3.983423266038498
2018-03-30,7,RISK,0.5068453325672848,3.3527833730040837
