series,period,cagr,max_drawdown,sharpe,calmar,turnover,worst_year,comparator_cagr,comparator_max_drawdown,comparator_sharpe,comparator_calmar,comparator_turnover,comparator_worst_year
S10A_10_10,2013-2016,0.0865623573964458,-0.0957167524447774,1.1735210819478326,0.9043595314873109,2.7238962161607283,-0.035440234030491236,0.07573379884490605,-0.13300066714424297,0.860677148198048,0.5694242026829129,0.0,-0.042469853720223605
S10A_10_10,2017-2019,0.0857777036902736,-0.09320213607544092,1.3255329080884068,0.9203405340500164,1.5873659163983667,-0.045765421898037895,0.08811161451937832,-0.09265456296403018,1.3278967297541435,0.9509689722845545,0.0,-0.04519210767489301
S10A_10_10,2020-2022,0.03456356601832389,-0.10223478709493672,0.4450522029647807,0.33808028559034076,2.1468324665116905,-0.05301667223013107,0.04059596840259183,-0.12176574714380983,0.4787421156212835,0.3333939909607461,0.0,-0.05425343173331687
S10A_10_10,2023-2026,0.14309535729800138,-0.10154848228252389,1.6531401430422425,1.4091333920667326,1.633001906539749,0.0020476254167467456,0.15468405985264977,-0.11177921897009435,1.6434451862497994,1.3838355758598946,0.0,0.038550999566504096
S10A_20_10,2013-2016,0.0792443540167338,-0.10562806219429222,1.091109212095656,0.7502206551036765,2.3387557684249884,-0.035440234030491236,0.07573379884490605,-0.13300066714424297,0.860677148198048,0.5694242026829129,0.0,-0.042469853720223605
S10A_20_10,2017-2019,0.08733153755750411,-0.09266750640940935,1.336591016164794,0.9424181241229188,1.046689379563418,-0.04520047790378845,0.08811161451937832,-0.09265456296403018,1.3278967297541435,0.9509689722845545,0.0,-0.04519210767489301
S10A_20_10,2020-2022,0.03727191008528008,-0.10313280943811609,0.47802315851477944,0.36139721479850456,1.810998675032733,-0.05106466999382653,0.04059596840259183,-0.12176574714380983,0.4787421156212835,0.3333939909607461,0.0,-0.05425343173331687
S10A_20_10,2023-2026,0.14828424903594262,-0.07224670215044915,1.761747316411939,2.052470834269364,2.582572806343972,0.03755487872528929,0.15468405985264977,-0.11177921897009435,1.6434451862497994,1.3838355758598946,0.0,0.038550999566504096
S10A_40_10,2013-2016,0.07759370283948153,-0.11667046350589838,1.061564250353652,0.6650672373094558,2.078231263478124,-0.035440234030491236,0.07573379884490605,-0.13300066714424297,0.860677148198048,0.5694242026829129,0.0,-0.042469853720223605
S10A_40_10,2017-2019,0.08779495778674762,-0.08947081193962425,1.3280430285926927,0.9812692640589032,0.2607898736393762,-0.04232096443002975,0.08811161451937832,-0.09265456296403018,1.3278967297541435,0.9509689722845545,0.0,-0.04519210767489301
S10A_40_10,2020-2022,0.02686136143121942,-0.1217657471438095,0.3474964797737138,0.2205986663843588,1.346008321393736,-0.05195652100922166,0.04059596840259183,-0.12176574714380983,0.4787421156212835,0.3333939909607461,0.0,-0.05425343173331687
S10A_40_10,2023-2026,0.14905558753552528,-0.07892541823201049,1.745253966203881,1.8885625299742974,1.7133694866502467,0.034134218094076685,0.15468405985264977,-0.11177921897009435,1.6434451862497994,1.3838355758598946,0.0,0.038550999566504096
S10A_20_8,2013-2016,0.0814392215861024,-0.09003954224278632,1.1982380969435062,0.904482847841522,3.0849175550861787,-0.035440234030491236,0.07573379884490605,-0.13300066714424297,0.860677148198048,0.5694242026829129,0.0,-0.042469853720223605
S10A_20_8,2017-2019,0.08260079120865416,-0.09419076001217563,1.297226575860042,0.87695216811051,2.4294690427987193,-0.04679932706032852,0.08811161451937832,-0.09265456296403018,1.3278967297541435,0.9509689722845545,0.0,-0.04519210767489301
S10A_20_8,2020-2022,0.03195765294982822,-0.08744731682842521,0.4608489149745734,0.365450354669318,2.7526617426424447,-0.05392388352229316,0.04059596840259183,-0.12176574714380983,0.4787421156212835,0.3333939909607461,0.0,-0.05425343173331687
S10A_20_8,2023-2026,0.13994812071846363,-0.0698939888194926,1.7861506290706326,2.002291228218381,3.277299242080978,0.029489368152300965,0.15468405985264977,-0.11177921897009435,1.6434451862497994,1.3838355758598946,0.0,0.038550999566504096
S10A_20_12,2013-2016,0.07848204526332592,-0.11369448176348962,1.021727948367936,0.6902889572651945,1.7565069221099865,-0.035440234030491236,0.07573379884490605,-0.13300066714424297,0.860677148198048,0.5694242026829129,0.0,-0.042469853720223605
S10A_20_12,2017-2019,0.08754445893776053,-0.0930437271263056,1.3247512121954461,0.9408958738176956,0.3560272554761022,-0.045600459086538536,0.08811161451937832,-0.09265456296403018,1.3278967297541435,0.9509689722845545,0.0,-0.04519210767489301
S10A_20_12,2020-2022,0.033692960174100506,-0.11882817849046312,0.41494497379435363,0.28354352142833383,1.0111436347299994,-0.05396457778795927,0.04059596840259183,-0.12176574714380983,0.4787421156212835,0.3333939909607461,0.0,-0.05425343173331687
S10A_20_12,2023-2026,0.15488766387049036,-0.072488669831544,1.7569020621352678,2.1367154926477876,1.752577253660573,0.048941214423738666,0.15468405985264977,-0.11177921897009435,1.6434451862497994,1.3838355758598946,0.0,0.038550999566504096
