execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS
2013-04-01,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2013-07-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
2013-10-08,0.50000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2013-11-01,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000
2013-12-02,0.50000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2014-01-02,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000
2014-02-07,0.00000000,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66666667
2014-03-03,0.00000000,0.33333333,0.00000000,0.00000000,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.33333333
2014-04-01,0.00000000,0.25000000,0.00000000,0.25000000,0.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25000000
2014-05-05,0.00000000,0.00000000,0.00000000,0.25000000,0.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50000000
2014-06-03,0.00000000,0.00000000,0.00000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60000000
2014-07-01,0.00000000,0.20000000,0.00000000,0.20000000,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.20000000
2014-08-01,0.20000000,0.20000000,0.00000000,0.20000000,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000
2014-10-08,0.20000000,0.20000000,0.00000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20000000
2014-12-01,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.00000000,0.00000000,0.00000000,0.00000000,0.16666667
2015-02-02,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.00000000,0.00000000,0.16666667,0.00000000,0.00000000
2015-03-02,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.00000000,0.00000000,0.00000000,0.00000000,0.16666667
2015-08-03,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42857143
2015-09-01,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.71428571
2015-10-08,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
