year,return
2013,-0.02241743
2014,0.22651407
2015,0.23294707
2016,-0.12961358
2017,0.12253731
2018,-0.09724720
2019,0.20395621
2020,0.16514517
2021,0.00997972
2022,-0.16668130
2023,0.24637145
2024,0.29506081
2025,0.05623316
2026,0.09152691
