metric,baseline,observed,delta,tolerance,passed,reproduced
cagr,0.1163753501739464,0.11637515674509435,-1.9342885204665095e-07,0.0001,True,True
max_drawdown,-0.1835119628859864,-0.18351236292732442,-4.000413380278456e-07,0.0001,True,True
sharpe,1.0911209093079228,1.091119082443939,-1.8268639838669998e-06,0.00010911209093079228,True,True
calmar,0.634156751111909,0.6341543146669736,-2.436444935360882e-06,0.0001,True,True
turnover,11.79026465782429,11.790377273598702,0.00011261577441246118,0.001179026465782429,True,True
