symbol,local_start_date,rqalpha_listed_date,match
510300.SS,2012-05-28,2012-05-28,True
510500.SS,2013-03-15,2013-03-15,True
513500.SS,2014-01-15,2014-01-15,True
513100.SS,2013-05-15,2013-05-15,True
159920.SZ,2012-10-22,2012-10-22,True
513520.SS,2019-06-25,2019-06-25,True
513030.SS,2014-09-05,2014-09-05,True
518880.SS,2013-07-29,2013-07-29,True
159980.SZ,2019-12-24,2019-12-24,True
511010.SS,2013-03-25,2013-03-25,True
511260.SS,2017-08-24,2017-08-24,True
511880.SS,2013-04-18,2013-04-18,True
