trend_window,vol_window,period,cagr,max_drawdown,sharpe,calmar,turnover,worst_year
160,60,2013-2016,0.07222569674799373,-0.08038181267257016,1.210644011923949,0.8985328191365898,5.705518593128973,-0.04964675851397404
160,60,2017-2019,0.07118906912710488,-0.060077906700767514,1.4022302359931353,1.1849458983595946,4.832433287749589,0.02607954203105778
160,60,2020-2022,0.04527086562978555,-0.10719353713862245,0.5837537316711929,0.42232831230525925,6.22663785179418,-0.03487301870411652
160,60,2023-2026,0.132798949936499,-0.11854874557479023,1.2554340585759274,1.1202054420113503,9.325885373662008,0.02591619401534828
180,60,2013-2016,0.06984856925058636,-0.07168567097417411,1.2060689103491369,0.9743728181849676,4.706137012430055,-0.0495780157766712
180,60,2017-2019,0.06397233397762347,-0.06251967195950747,1.2253474771864967,1.0232352789543884,4.871016097436765,0.014271589383919814
180,60,2020-2022,0.05268977849034018,-0.10719353713862301,0.6654209630270482,0.49153876154120746,5.941742016697302,-0.030559430685010103
180,60,2023-2026,0.14277317106093457,-0.12503389620032812,1.3087721761284885,1.1418757265004744,8.076910761672824,0.03749491499896762
200,60,2013-2016,0.06886434650330742,-0.07108411963236949,1.1525756124881505,0.9687725874563514,4.769818911579675,-0.05167307518417652
200,60,2017-2019,0.06572266431560081,-0.06251967197185138,1.2638178086952034,1.0512317522265877,4.990994350128579,0.024184050831324688
200,60,2020-2022,0.05339639842049637,-0.10719353713861901,0.6686143143852044,0.4981307627851293,5.179542398844906,-0.03852025542020221
200,60,2023-2026,0.13809038603406276,-0.12503389620032845,1.2585959988031623,1.104423602163171,7.753629313103193,0.03693070137492538
220,60,2013-2016,0.06700550218973533,-0.07108411963237005,1.1083468143785447,0.9426226636310847,5.1125135992441955,-0.049895797540056464
220,60,2017-2019,0.06736841009017036,-0.06251967197185127,1.2695329283765138,1.0775553992110225,4.387668941920233,0.025917821424016996
220,60,2020-2022,0.05563512041854324,-0.10719353715043123,0.6924289713909544,0.5190156225600344,4.9451423539086035,-0.029371003396156614
220,60,2023-2026,0.1444630338022006,-0.12503389620032823,1.3076589289283609,1.1553909635091526,7.478068432418906,0.03693070137492516
240,60,2013-2016,0.07000127780465526,-0.07171548114333937,1.1672499233681206,0.976097164637885,4.817557401890429,-0.058102863969124674
240,60,2017-2019,0.06680316181556933,-0.06251967197185193,1.2400300532431165,1.068514272526029,4.491880710624266,0.02591782142401411
240,60,2020-2022,0.05089431518897647,-0.107193537150431,0.637175663615695,0.4747890268566609,5.492392166112558,-0.03503409615094022
240,60,2023-2026,0.1413203908386016,-0.12503389620032823,1.282246731682106,1.130256635466108,6.91367981569412,0.03693070137492538
200,40,2013-2016,0.06908774831266262,-0.07128986334919796,1.1709503489311406,0.9691104045781551,5.000704392440605,-0.05209164046052994
200,40,2017-2019,0.0670940819459549,-0.06240173164047713,1.2819590632593831,1.0751958348289496,5.198529410716717,0.025611444903480995
200,40,2020-2022,0.05251409723483391,-0.10606908621205502,0.6591411612623592,0.4950933312449481,5.536495775113519,-0.035199545238496666
200,40,2023-2026,0.13696091315374637,-0.13047135187401881,1.2563140955582466,1.0497393580009333,8.388364759512225,0.026026240396620492
200,80,2013-2016,0.06636450264458316,-0.07786220428434298,1.0967189010338345,0.8523326979316991,4.629550608234897,-0.051808148617977334
200,80,2017-2019,0.06530129170157517,-0.06244492202564511,1.258095499945322,1.0457422250404445,4.8463306935018355,0.022682310193653077
200,80,2020-2022,0.052129457618524055,-0.10765284720691204,0.6535396173112881,0.484236682735661,5.031677586518208,-0.03815512124980691
200,80,2023-2026,0.1342241386153531,-0.12952500954722712,1.2189929156795303,1.0362797044721512,7.406897936716966,0.03632424635433407
