dimension,vol_window,target_volatility,average_scale,series,cagr,max_drawdown,sharpe,calmar,turnover,trade_count,average_holding_days,worst_year,target_change_count,annualized_target_change_count,comparator_cagr,comparator_max_drawdown,comparator_sharpe,comparator_calmar,comparator_turnover,comparator_trade_count,comparator_average_holding_days,comparator_worst_year,comparator_target_change_count,comparator_annualized_target_change_count
window,10,0.1,0.8454900795800692,S10A_10_10,0.08278200448895157,-0.10223478709493627,1.1051263491005954,0.80972442787091,9.091096505610535,292.0,2401.8150684931506,-0.05301667223013018,171.0,12.001873558800922,0.0842126278849713,-0.1330006671442432,1.0067705574390506,0.6331744771899542,1.0,292.0,2469.3664383561645,-0.054253431733317536,171.0,12.001873558800922
window,20,0.1,0.8333513351359396,S10A_20_10,0.08304493980402072,-0.10562806219429322,1.121756354965468,0.7862014892526108,8.779016629365112,285.0,2376.501754385965,-0.051064669993827194,171.0,12.001873558800922,0.0842126278849713,-0.1330006671442432,1.0067705574390506,0.6331744771899542,1.0,292.0,2469.3664383561645,-0.054253431733317536,171.0,12.001873558800922
window,40,0.1,0.8301315934908674,S10A_40_10,0.08063131280595615,-0.12176574714380961,1.071341865295559,0.6621838628454991,6.3983989451614836,281.0,2374.7829181494662,-0.05195652100922077,171.0,12.001873558800922,0.0842126278849713,-0.1330006671442432,1.0067705574390506,0.6331744771899542,1.0,292.0,2469.3664383561645,-0.054253431733317536,171.0,12.001873558800922
target,20,0.08,0.7864440509531183,S10A_20_8,0.0794011755987809,-0.09419076001217641,1.1554449269688902,0.842982640638173,12.54434758260832,282.0,2408.390070921986,-0.053923883522293714,171.0,12.001873558800922,0.0842126278849713,-0.1330006671442432,1.0067705574390506,0.6331744771899542,1.0,292.0,2469.3664383561645,-0.054253431733317536,171.0,12.001873558800922
target,20,0.12,0.8601346976177685,S10A_20_12,0.08371996161536965,-0.1188281784904629,1.079398267202134,0.70454636836909,5.876255065976661,279.0,2360.7419354838707,-0.053964577787959156,171.0,12.001873558800922,0.0842126278849713,-0.1330006671442432,1.0067705574390506,0.6331744771899542,1.0,292.0,2469.3664383561645,-0.054253431733317536,171.0,12.001873558800922
