execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS,511260.SS,511880.SS
2013-04-01,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0
2013-05-02,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0
2013-06-03,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2013-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2013-10-08,0.08567722170180872,0.0,0.0,0.0,0.13654500052041346,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0
2013-12-02,0.09336809370096268,0.0,0.0,0.0,0.12885412852125952,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2014-01-02,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0
2014-02-07,0.0,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0
2014-03-03,0.0,0.08140407142933274,0.0,0.0,0.14081815079288948,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2014-04-01,0.0,0.07966306839589415,0.0,0.1256872058447289,0.12798305909271027,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0
2014-05-05,0.0,0.0,0.0,0.09459687189979854,0.1276253503224237,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2014-06-03,0.0,0.0,0.0,0.09127317629386757,0.13094904592835463,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2014-07-01,0.0,0.08305180516596186,0.0,0.09500623767553655,0.14117916233960176,0.0,0.0,0.12520723926334426,0.0,0.5555555555555556,0.0,0.0
2014-08-01,0.09556003105944198,0.08407611558806237,0.0,0.12519530828293368,0.12745308397356914,0.0,0.0,0.12327101665154833,0.0,0.4444444444444444,0.0,0.0
2014-09-01,0.0921416230748996,0.08586104280226446,0.0,0.12331293627654875,0.12852970561389623,0.0,0.0,0.1257102477879466,0.0,0.4444444444444444,0.0,0.0
2014-10-08,0.09642852060781884,0.09471456023425844,0.0,0.12324389232661943,0.13005747127574768,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
2014-11-03,0.11448668663477547,0.10225960289750195,0.0,0.11536206844109814,0.11233608647106884,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
