signal_date,eligible_sector_count,positive_sector_count,negative_sector_count,unavailable_sector_count,risk_asset_weight,fallback_weight,target_changed,execution_date
2018-08-31,8,0,8,3,0.0,1.0,True,2018-09-03
2018-09-28,8,1,7,3,0.09090909090909091,0.9090909090909091,True,2018-10-08
2018-10-31,8,1,7,3,0.09090909090909091,0.9090909090909091,False,
2018-11-30,8,1,7,3,0.09090909090909091,0.9090909090909091,False,
2018-12-28,8,1,7,3,0.09090909090909091,0.9090909090909091,False,
2019-01-31,8,3,5,3,0.2727272727272727,0.7272727272727273,True,2019-02-01
2019-02-28,8,5,3,3,0.45454545454545453,0.5454545454545454,True,2019-03-01
2019-03-29,8,8,0,3,0.7272727272727273,0.2727272727272727,True,2019-04-01
2019-04-30,8,8,0,3,0.7272727272727273,0.2727272727272727,False,
2019-05-31,8,7,1,3,0.6363636363636364,0.36363636363636365,True,2019-06-03
2019-06-28,8,8,0,3,0.7272727272727273,0.2727272727272727,True,2019-07-01
2019-07-31,8,8,0,3,0.7272727272727273,0.2727272727272727,False,
2019-08-30,8,4,4,3,0.36363636363636365,0.6363636363636364,True,2019-09-02
2019-09-30,8,2,6,3,0.18181818181818182,0.8181818181818181,True,2019-10-08
2019-10-31,8,5,3,3,0.45454545454545453,0.5454545454545454,True,2019-11-01
2019-11-29,8,5,3,3,0.45454545454545453,0.5454545454545454,True,2019-12-02
2019-12-31,8,8,0,3,0.7272727272727273,0.2727272727272727,True,2020-01-02
2020-01-23,8,7,1,3,0.6363636363636364,0.36363636363636365,True,2020-02-03
2020-02-28,8,8,0,3,0.7272727272727273,0.2727272727272727,True,2020-03-02
2020-03-31,8,3,5,3,0.2727272727272727,0.7272727272727273,True,2020-04-01
2020-04-30,8,6,2,3,0.5454545454545454,0.4545454545454546,True,2020-05-06
2020-05-29,8,6,2,3,0.5454545454545454,0.4545454545454546,False,
2020-06-30,8,5,3,3,0.45454545454545453,0.5454545454545454,True,2020-07-01
2020-07-31,8,8,0,3,0.7272727272727273,0.2727272727272727,True,2020-08-03
2020-08-31,10,10,0,1,0.9090909090909091,0.09090909090909094,True,2020-09-01
2020-09-30,11,11,0,0,1.0,0.0,True,2020-10-09
2020-10-30,11,11,0,0,1.0,0.0,False,
2020-11-30,11,11,0,0,1.0,0.0,False,
2020-12-31,11,7,4,0,0.6363636363636364,0.36363636363636365,True,2021-01-04
2021-01-29,11,7,4,0,0.6363636363636364,0.36363636363636365,False,
2021-02-26,11,7,4,0,0.6363636363636364,0.36363636363636365,False,
2021-03-31,11,6,5,0,0.5454545454545454,0.4545454545454546,True,2021-04-01
2021-04-30,11,6,5,0,0.5454545454545454,0.4545454545454546,False,
2021-05-31,11,8,3,0,0.7272727272727273,0.2727272727272727,True,2021-06-01
2021-06-30,11,7,4,0,0.6363636363636364,0.36363636363636365,True,2021-07-01
2021-07-30,11,6,5,0,0.5454545454545454,0.4545454545454546,True,2021-08-02
2021-08-31,11,7,4,0,0.6363636363636364,0.36363636363636365,True,2021-09-01
