returns_window,period,cagr,max_drawdown,sharpe,calmar,turnover,worst_year,inverse_cagr,inverse_max_drawdown,inverse_sharpe,inverse_calmar,inverse_turnover,inverse_worst_year,equal_cagr,equal_max_drawdown,equal_sharpe,equal_calmar,equal_turnover,equal_worst_year
40,2013-2016,0.08783888022768638,-0.13855303900133664,0.9397659292543213,0.6339729598196614,3.847139111788878,-0.03883475760721988,0.10410904025565149,-0.14032259949241177,1.0239809568302252,0.7419263941249991,3.210275310327747,-0.03883475760721988,0.09546257415046422,-0.22330089615276805,0.7606736591647636,0.4275064533782923,1.1428571428571428,-0.03883475760721988
40,2017-2019,0.09548377832427724,-0.10612203925258856,1.28956741241732,0.8997544619078564,3.314005090518264,-0.05919628778821984,0.10294329887438347,-0.1380150003744478,1.166623840219483,0.745884857407445,2.533307289254785,-0.087959027564941,0.09272002023373149,-0.17999918134026294,0.8908809844984931,0.5151135663137125,0.12499999999999997,-0.1262303097084575
40,2020-2022,0.05278178231273323,-0.17977245281345966,0.48003592819158936,0.29360328285392023,3.1783309708030623,-0.07645719481146962,0.032747460898030045,-0.22270975969439932,0.30555056093387295,0.14704097810067177,2.6493974421865154,-0.11006830504589704,0.03765025401491373,-0.20867581704309057,0.3299477709437356,0.18042461531198475,0.11111111111111113,-0.09631282273768538
40,2023-2026（伪样本外）,0.21398782819448803,-0.13646611628314032,1.5981059490451208,1.5680656416608605,4.054059031025045,0.0884566710901653,0.2086445482076904,-0.13047135187401837,1.5381546184586325,1.5991598554842534,3.5224150214663923,0.09205251048899243,0.18663328097948106,-0.13106183345444755,1.3214704252585707,1.4240093859540595,0.0,0.08729042091280803
60,2013-2016,0.09929544064512119,-0.1302745360732258,1.0610762025529505,0.7622014527022255,3.1082688430552143,-0.03883475760721988,0.11549129245022471,-0.1364022546815834,1.1217091939641486,0.846696359380766,2.595548019499698,-0.03883475760721988,0.10499644588592405,-0.22330089615276838,0.8266967034519599,0.4702016323933251,1.1428571428571428,-0.03883475760721988
60,2017-2019,0.09151084399347487,-0.10080060976336225,1.2700385634676794,0.9078401827955617,2.3433317394532382,-0.05651302372259537,0.09769177861171618,-0.13736358372241875,1.1218153751766002,0.7111912485417499,1.8636391306305076,-0.08672884998364516,0.09065528952497726,-0.17999918134026283,0.8723346892864193,0.5036427879836094,0.12499999999999997,-0.1262303097084576
60,2020-2022,0.056428638802411335,-0.1835119628859868,0.5051438825232759,0.30749297165694633,2.5023714537392796,-0.08073262482462096,0.03673976934781753,-0.224775527809279,0.3315312164910089,0.1634509312730479,2.0019687463537554,-0.1075368409967753,0.037586354097175256,-0.20926693997009072,0.3288555503040172,0.1796096129782719,0.11111111111111113,-0.09631282273768638
60,2023-2026（伪样本外）,0.21420566927082407,-0.13190897959019499,1.5926837458389218,1.6238899727395537,2.8362926215765576,0.10389839492081854,0.2086621834106248,-0.12503389620032812,1.532167785572363,1.6688449272692283,2.604737970599927,0.10212537576644554,0.18663328097948106,-0.13106183345444777,1.3214704252585647,1.424009385954057,0.0,0.08729042091280781
80,2013-2016,0.10090005338643371,-0.12490847153580553,1.0767757933775126,0.8077919147182125,2.653761844574629,-0.03883475760721988,0.11206501406667746,-0.13775293819763323,1.0913935879084022,0.813521769720066,2.2348239865872643,-0.03883475760721988,0.10285341433228057,-0.22330089615276894,0.8138624636681304,0.4606045748330293,1.1428571428571428,-0.03883475760721988
80,2017-2019,0.08988976125058135,-0.10877019506207264,1.2567251083606532,0.826419049807563,1.7678521833343304,-0.06254362913857558,0.09606622407752075,-0.1397420596432154,1.1072202112319098,0.6874539013006801,1.418874637792168,-0.08794811577065553,0.09028271185895953,-0.17999918134026271,0.8686983575413288,0.5015729026472235,0.12499999999999997,-0.12623030970845706
80,2020-2022,0.05621899309611256,-0.1874461223813042,0.500726764613244,0.2999208112811824,1.9378908199557452,-0.07091631372182317,0.03982554372667679,-0.22501988763945413,0.35109354660358355,0.1769867727891174,1.6714178706860854,-0.09781272337447655,0.03833301577934356,-0.20926693997015344,0.33320260951978253,0.18317759979101705,0.11111111111111113,-0.0963128227376846
80,2023-2026（伪样本外）,0.20825525567860703,-0.13472223293945418,1.5461738676284613,1.545812084128679,2.418203245979969,0.10192915844966555,0.20533519695502322,-0.12952500954722723,1.5029074320496378,1.5852938183351701,2.223361122611324,0.09738182182261013,0.18663328097948106,-0.13106183345444744,1.3214704252585703,1.4240093859540606,0.0,0.08729042091280892
