window_years,window_start,window_end,cagr,max_drawdown,sharpe
3,2018-10-29,2021-10-29,0.07541762,-0.23250206,0.50051506
3,2018-11-30,2021-11-30,0.07099040,-0.23250206,0.48048585
3,2019-01-02,2021-12-31,0.12567293,-0.23250206,0.78311976
3,2019-01-28,2022-01-28,0.07599212,-0.23250206,0.51261628
3,2019-02-28,2022-02-28,0.07877383,-0.23250206,0.52340655
3,2019-04-01,2022-03-31,0.06869071,-0.24281952,0.46402149
3,2019-04-29,2022-04-29,0.04355740,-0.24281952,0.32983232
3,2019-05-31,2022-05-31,0.05612707,-0.25059901,0.39767190
3,2019-07-01,2022-06-30,0.00664186,-0.28599988,0.13020599
3,2019-07-29,2022-07-29,-0.01129691,-0.35317315,0.03174440
3,2019-09-02,2022-08-31,-0.02514667,-0.35317315,-0.04583493
3,2019-09-30,2022-09-30,-0.02048151,-0.35317315,-0.01953879
3,2019-10-31,2022-10-31,-0.02002552,-0.35317315,-0.01701631
3,2019-12-02,2022-11-30,-0.00420873,-0.35317315,0.07129630
3,2019-12-30,2022-12-30,-0.00624901,-0.35317315,0.06012833
3,2020-02-03,2023-01-31,0.01770762,-0.35317315,0.19099257
3,2020-02-28,2023-02-28,0.01094886,-0.35317315,0.15191344
3,2020-03-31,2023-03-31,0.03705940,-0.35317315,0.31267429
3,2020-04-28,2023-04-28,0.01061042,-0.35317315,0.14857060
3,2020-06-01,2023-05-31,0.00677632,-0.35317315,0.12584529
3,2020-06-30,2023-06-30,0.02495898,-0.35317315,0.23575146
3,2020-07-31,2023-07-31,0.01711220,-0.35317315,0.18885995
3,2020-08-31,2023-08-31,-0.03043139,-0.35317315,-0.10581124
3,2020-09-28,2023-09-28,-0.02123271,-0.32633071,-0.06121609
3,2020-11-02,2023-10-31,-0.01842077,-0.32633071,-0.04281730
3,2020-11-30,2023-11-30,0.00627992,-0.32633071,0.11967562
3,2020-12-29,2023-12-29,0.01970007,-0.32633071,0.20748311
3,2021-02-01,2024-01-31,0.03167398,-0.32633071,0.27678368
3,2021-03-01,2024-02-29,0.05205873,-0.28818585,0.39963926
3,2021-03-29,2024-03-29,0.07475863,-0.28553885,0.53873728
3,2021-04-30,2024-04-30,0.05363486,-0.28553885,0.40887764
3,2021-05-31,2024-05-31,0.06253483,-0.28553885,0.46163335
3,2021-06-28,2024-06-28,0.10063027,-0.28553885,0.68079639
3,2021-08-02,2024-07-31,0.09256361,-0.28553885,0.62520704
3,2021-08-30,2024-08-30,0.08879810,-0.28553885,0.58183825
3,2021-09-30,2024-09-30,0.09172094,-0.28553885,0.59209020
3,2021-11-01,2024-10-31,0.09576722,-0.28028591,0.61539256
3,2021-11-29,2024-11-29,0.10651931,-0.28028591,0.67220567
3,2021-12-31,2024-12-31,0.10384088,-0.27711786,0.65615132
3,2022-01-27,2025-01-27,0.16416812,-0.22645271,0.96678492
3,2022-02-28,2025-02-28,0.13477362,-0.22645271,0.82705110
3,2022-03-31,2025-03-31,0.15257548,-0.20132471,0.93625076
3,2022-05-05,2025-04-30,0.16549182,-0.16981433,0.98107291
3,2022-05-30,2025-05-30,0.17805728,-0.16527977,1.04408248
3,2022-06-30,2025-06-30,0.20889859,-0.14340287,1.20443070
3,2022-08-01,2025-07-31,0.21534399,-0.14340287,1.24924458
3,2022-08-29,2025-08-29,0.21166599,-0.14340287,1.23279966
3,2022-09-30,2025-09-30,0.23795871,-0.14340287,1.35025609
3,2022-10-31,2025-10-31,0.22614873,-0.14340287,1.27531484
3,2022-11-28,2025-11-28,0.20312175,-0.14340287,1.15545748
3,2023-01-03,2025-12-31,0.19689075,-0.14340287,1.12095359
3,2023-01-30,2026-01-30,0.23893783,-0.14340287,1.28555910
3,2023-02-27,2026-02-27,0.25921143,-0.14340287,1.32716577
3,2023-03-31,2026-03-31,0.18716006,-0.18992969,0.98161521
3,2023-05-04,2026-04-30,0.19155326,-0.18992969,0.98119779
3,2023-05-29,2026-05-29,0.19612936,-0.18992969,1.01770074
3,2023-06-30,2026-06-30,0.21888769,-0.18992969,1.07831849
3,2023-07-31,2026-07-31,0.13984542,-0.18992969,0.72428513
3,2023-08-31,2026-08-31,0.16101982,-0.18992969,0.81013010
5,2013-07-01,2018-06-29,0.07505318,-0.46813015,0.42625413
5,2013-07-31,2018-07-31,0.08545713,-0.46813015,0.46572348
5,2013-09-02,2018-08-31,0.09845110,-0.46813015,0.51379783
5,2013-09-30,2018-09-28,0.09095595,-0.46813015,0.48622938
5,2013-10-31,2018-10-31,0.07554515,-0.46813015,0.42653348
5,2013-12-02,2018-11-30,0.07449608,-0.46813015,0.42217092
5,2013-12-30,2018-12-28,0.06089666,-0.46813015,0.36829894
5,2014-02-07,2019-01-31,0.07220485,-0.46813015,0.41107752
5,2014-02-28,2019-02-28,0.07159288,-0.46813015,0.40978128
5,2014-03-31,2019-03-29,0.07772966,-0.46813015,0.43218010
5,2014-04-30,2019-04-30,0.09067820,-0.46813015,0.48086213
5,2014-06-03,2019-05-31,0.06954807,-0.46813015,0.40095232
5,2014-06-30,2019-06-28,0.07455918,-0.46813015,0.41962289
5,2014-07-31,2019-07-31,0.07476749,-0.46813015,0.42062187
5,2014-09-01,2019-08-30,0.07583745,-0.46813015,0.42423966
5,2014-09-30,2019-09-30,0.06442433,-0.46813015,0.38155915
5,2014-10-31,2019-10-31,0.06182642,-0.46813015,0.37180144
5,2014-12-01,2019-11-29,0.05092813,-0.46813015,0.32976536
5,2014-12-31,2019-12-31,0.05538417,-0.46813015,0.34753391
5,2015-01-23,2020-01-23,0.05832264,-0.46813015,0.35992108
5,2015-03-02,2020-02-28,0.03192702,-0.46813015,0.25601164
5,2015-03-31,2020-03-31,-0.00262494,-0.46813015,0.12028690
5,2015-04-30,2020-04-30,-0.01073147,-0.46813015,0.08692101
5,2015-05-29,2020-05-29,-0.02728588,-0.46813015,0.01480098
5,2015-06-30,2020-06-30,-0.00738440,-0.31426804,0.09010606
5,2015-07-31,2020-07-31,0.03549362,-0.30955726,0.27801595
5,2015-08-31,2020-08-31,0.09312815,-0.25851263,0.58167208
5,2015-09-30,2020-09-30,0.08562668,-0.25851263,0.55150555
5,2015-10-30,2020-10-30,0.04984201,-0.25851263,0.36828552
5,2015-11-30,2020-11-30,0.04909486,-0.25851263,0.36823582
5,2015-12-31,2020-12-31,0.04348666,-0.23250206,0.33869107
5,2016-01-29,2021-01-29,0.09689672,-0.23250206,0.65445811
5,2016-02-26,2021-02-26,0.08932646,-0.23250206,0.61107397
5,2016-03-31,2021-03-31,0.07820949,-0.23250206,0.54560328
5,2016-05-03,2021-04-30,0.07710863,-0.23250206,0.53785472
5,2016-05-31,2021-05-31,0.08146217,-0.23250206,0.56190640
5,2016-06-30,2021-06-30,0.08052273,-0.23250206,0.55561290
5,2016-08-01,2021-07-30,0.06697436,-0.23250206,0.47813541
5,2016-08-31,2021-08-31,0.07463502,-0.23250206,0.52108205
5,2016-09-30,2021-09-30,0.06385819,-0.23250206,0.46023358
5,2016-10-31,2021-10-29,0.06616089,-0.23250206,0.47118682
5,2016-11-30,2021-11-30,0.06146422,-0.23250206,0.44482366
5,2017-01-03,2021-12-31,0.08415208,-0.23250206,0.57920874
5,2017-02-03,2022-01-28,0.05338172,-0.23250206,0.39944793
5,2017-02-28,2022-02-28,0.04959758,-0.23250206,0.37707834
5,2017-03-31,2022-03-31,0.04600118,-0.24281952,0.35404575
5,2017-05-02,2022-04-29,0.04267354,-0.24281952,0.33398948
5,2017-05-31,2022-05-31,0.03440620,-0.25059901,0.28754588
5,2017-06-30,2022-06-30,0.02500711,-0.28599988,0.23374897
5,2017-07-31,2022-07-29,0.01085991,-0.35317315,0.15207548
5,2017-08-31,2022-08-31,0.01333278,-0.35317315,0.16640725
5,2017-10-09,2022-09-30,0.00882634,-0.35317315,0.14019993
5,2017-10-31,2022-10-31,0.00388059,-0.35317315,0.11175747
5,2017-11-30,2022-11-30,0.00906346,-0.35317315,0.14186373
5,2018-01-02,2022-12-30,0.01158753,-0.35317315,0.15631027
5,2018-01-31,2023-01-31,0.00783036,-0.35317315,0.13490325
5,2018-02-28,2023-02-28,0.01458381,-0.35317315,0.17360074
5,2018-04-02,2023-03-31,0.03158621,-0.35317315,0.27238377
5,2018-05-02,2023-04-28,0.03663583,-0.35317315,0.30164594
5,2018-05-31,2023-05-31,0.03633853,-0.35317315,0.29748474
5,2018-07-02,2023-06-30,0.04821670,-0.35317315,0.36438560
5,2018-07-31,2023-07-31,0.04484600,-0.35317315,0.34644930
5,2018-08-31,2023-08-31,0.03265196,-0.35317315,0.27703350
5,2018-09-28,2023-09-28,0.01783615,-0.35317315,0.19234166
5,2018-10-31,2023-10-31,0.03023629,-0.35317315,0.26450937
5,2018-11-30,2023-11-30,0.04858687,-0.35317315,0.37017261
5,2019-01-02,2023-12-29,0.08185563,-0.35317315,0.56585355
5,2019-01-31,2024-01-31,0.09447642,-0.35317315,0.61846300
5,2019-02-28,2024-02-29,0.10633757,-0.35317315,0.67790944
5,2019-03-29,2024-03-29,0.10462216,-0.35317315,0.66947308
5,2019-04-30,2024-04-30,0.07655305,-0.35317315,0.51568209
5,2019-05-31,2024-05-31,0.09919606,-0.35317315,0.63696058
5,2019-06-28,2024-06-28,0.10666699,-0.35317315,0.67730924
5,2019-07-31,2024-07-31,0.09071490,-0.35317315,0.58862620
5,2019-08-30,2024-08-30,0.08135001,-0.35317315,0.52917702
5,2019-09-30,2024-09-30,0.08025122,-0.35317315,0.52089210
5,2019-10-31,2024-10-31,0.08894469,-0.35317315,0.56464639
5,2019-11-29,2024-11-29,0.09827894,-0.35317315,0.61179142
5,2019-12-31,2024-12-31,0.09615488,-0.35317315,0.59810932
5,2020-02-03,2025-01-27,0.10797958,-0.35317315,0.65967605
5,2020-02-28,2025-02-28,0.10013404,-0.35317315,0.63804954
5,2020-03-31,2025-03-31,0.11830135,-0.35317315,0.74842225
5,2020-04-30,2025-04-30,0.09494649,-0.35317315,0.61813489
5,2020-06-01,2025-05-30,0.09310053,-0.35317315,0.60805683
5,2020-06-30,2025-06-30,0.09317356,-0.35317315,0.60912885
5,2020-07-31,2025-07-31,0.07961819,-0.35317315,0.53699856
5,2020-08-31,2025-08-29,0.05251679,-0.35317315,0.39028705
5,2020-09-30,2025-09-30,0.08359598,-0.32633071,0.57297297
5,2020-11-02,2025-10-31,0.08697795,-0.32633071,0.58958890
5,2020-11-30,2025-11-28,0.07830964,-0.32633071,0.54182189
5,2020-12-31,2025-12-31,0.07490118,-0.32633071,0.52280439
5,2021-02-01,2026-01-30,0.10205747,-0.32633071,0.66684308
5,2021-03-01,2026-02-27,0.10437955,-0.28818585,0.66841094
5,2021-03-31,2026-03-31,0.08894421,-0.28553885,0.57876323
5,2021-04-30,2026-04-30,0.09553748,-0.28553885,0.60742811
5,2021-05-31,2026-05-29,0.10426704,-0.28553885,0.64869366
5,2021-06-30,2026-06-30,0.12993090,-0.28553885,0.75989152
5,2021-08-02,2026-07-31,0.09312116,-0.28553885,0.56625416
5,2021-08-31,2026-08-31,0.09822230,-0.28553885,0.58813616
