window_years,window_start,window_end,cagr,max_drawdown,sharpe
3,2013-07-01,2016-06-30,0.06321696,-0.46813015,0.36205777
3,2013-07-29,2016-07-29,0.08623836,-0.46813015,0.43539595
3,2013-09-02,2016-08-31,0.08679443,-0.46813015,0.43713948
3,2013-09-30,2016-09-30,0.07886133,-0.46813015,0.41242813
3,2013-10-31,2016-10-31,0.08828448,-0.46813015,0.44345962
3,2013-12-02,2016-11-30,0.09302064,-0.46813015,0.45839891
3,2013-12-30,2016-12-30,0.09850802,-0.46813015,0.47417053
3,2014-01-27,2017-01-26,0.10221992,-0.46813015,0.48565842
3,2014-02-28,2017-02-28,0.11670018,-0.46813015,0.53104795
3,2014-03-31,2017-03-31,0.12715172,-0.46813015,0.56144426
3,2014-04-28,2017-04-28,0.12463472,-0.46813015,0.55369391
3,2014-06-03,2017-05-31,0.11671059,-0.46813015,0.52963906
3,2014-06-30,2017-06-30,0.09637050,-0.46813015,0.46655332
3,2014-07-31,2017-07-31,0.09376986,-0.46813015,0.45906639
3,2014-09-01,2017-08-31,0.07825444,-0.46813015,0.40970373
3,2014-09-29,2017-09-29,0.06643355,-0.46813015,0.37195509
3,2014-10-31,2017-10-31,0.07601681,-0.46813015,0.40309783
3,2014-12-01,2017-11-30,0.06541406,-0.46813015,0.36882785
3,2014-12-29,2017-12-29,0.06166776,-0.46813015,0.35697440
3,2015-02-02,2018-01-31,0.09015567,-0.46813015,0.44982908
3,2015-03-02,2018-02-28,0.03991837,-0.46813015,0.28578690
3,2015-03-30,2018-03-30,-0.02135455,-0.46813015,0.07473766
3,2015-04-27,2018-04-27,-0.07467168,-0.46813015,-0.12268519
3,2015-06-01,2018-05-31,-0.10936264,-0.46813015,-0.27481756
3,2015-06-29,2018-06-29,-0.03858933,-0.34433571,-0.00989591
3,2015-07-31,2018-07-31,0.00200581,-0.30955726,0.12272473
3,2015-08-31,2018-08-31,0.06612030,-0.25851263,0.44397722
3,2015-09-28,2018-09-28,0.08439105,-0.25851263,0.56907340
3,2015-11-02,2018-10-31,0.02004568,-0.25851263,0.20597976
3,2015-11-30,2018-11-30,0.00713054,-0.25851263,0.12733933
3,2015-12-28,2018-12-28,-0.04085026,-0.24182797,-0.17019712
3,2016-02-01,2019-01-31,0.03529809,-0.21265758,0.31248276
3,2016-02-29,2019-02-28,0.04359471,-0.21265758,0.37372467
3,2016-03-29,2019-03-29,0.03804913,-0.21265758,0.33560423
3,2016-05-03,2019-04-30,0.05445964,-0.21265758,0.44464584
3,2016-05-31,2019-05-31,0.03407068,-0.21265758,0.30698745
3,2016-06-28,2019-06-28,0.06261411,-0.21265758,0.49087521
3,2016-08-01,2019-07-31,0.05620591,-0.21265758,0.44867324
3,2016-08-30,2019-08-30,0.07669603,-0.21265758,0.57730292
3,2016-09-30,2019-09-30,0.06424444,-0.21265758,0.49922644
3,2016-10-31,2019-10-31,0.06195100,-0.21265758,0.48415659
3,2016-11-29,2019-11-29,0.04974986,-0.21265758,0.40608500
3,2017-01-03,2019-12-31,0.08376452,-0.21265758,0.64875404
3,2017-01-23,2020-01-23,0.08994068,-0.21265758,0.68568976
3,2017-02-28,2020-02-28,0.04921601,-0.21265758,0.38621021
3,2017-03-31,2020-03-31,0.03112007,-0.23250206,0.27061669
3,2017-05-02,2020-04-30,0.07067365,-0.23250206,0.49262904
3,2017-05-31,2020-05-29,0.07281821,-0.23250206,0.50385083
3,2017-06-30,2020-06-30,0.08593327,-0.23250206,0.57880389
3,2017-07-31,2020-07-31,0.09113336,-0.23250206,0.60538974
3,2017-08-31,2020-08-31,0.13908495,-0.23250206,0.85172076
3,2017-10-09,2020-09-30,0.09971736,-0.23250206,0.61817145
3,2017-10-30,2020-10-30,0.07376417,-0.23250206,0.48674631
3,2017-11-30,2020-11-30,0.07895720,-0.23250206,0.51012614
3,2018-01-02,2020-12-31,0.07978241,-0.23250206,0.51291393
3,2018-01-29,2021-01-29,0.06419593,-0.23250206,0.43260447
3,2018-02-26,2021-02-26,0.07654775,-0.23250206,0.49639692
3,2018-04-02,2021-03-31,0.08491741,-0.23250206,0.53633916
3,2018-05-02,2021-04-30,0.08773161,-0.23250206,0.55071349
3,2018-05-31,2021-05-31,0.08259414,-0.23250206,0.52603319
3,2018-07-02,2021-06-30,0.07564585,-0.23250206,0.49202453
3,2018-07-30,2021-07-30,0.04969287,-0.23250206,0.36036057
3,2018-08-31,2021-08-31,0.04784108,-0.23250206,0.35204071
3,2018-10-08,2021-09-30,0.04153244,-0.23250206,0.31731503
