signal_date,eligible_asset_count,regime,max_target_weight
2023-01-31,9,RISK,0.18964144060109178
2023-02-28,9,RISK,0.1860169682224892
2023-03-31,9,RISK,0.1542947536297442
2023-04-28,9,RISK,0.13733681255933844
2023-05-31,9,RISK,0.15447898548092986
2023-06-30,9,RISK,0.14739148667334645
2023-07-31,9,RISK,0.19035341281667942
2023-08-31,9,RISK,0.23021144318769715
2023-09-28,9,RISK,0.1780655324539333
2023-10-31,9,RISK,0.1657472007990721
2023-11-30,9,RISK,0.1586546032982229
2023-12-29,9,RISK,0.1713283581745563
2024-01-31,9,RISK,0.21267259101908023
2024-02-29,9,RISK,0.21736197883816297
2024-03-29,9,RISK,0.2022060158329498
2024-04-30,9,RISK,0.14399204392333412
2024-05-31,9,RISK,0.15181729370207722
2024-06-28,9,RISK,0.16150865606907472
2024-07-31,9,RISK,0.17529544930983787
2024-08-30,9,RISK,0.18754031127946524
2024-09-30,9,RISK,0.19442241509424724
2024-10-31,9,RISK,0.21741740733891127
2024-11-29,9,RISK,0.1560296472314035
2024-12-31,9,RISK,0.17625956518919078
2025-01-27,9,RISK,0.19864768753299988
2025-02-28,9,RISK,0.2141923581671203
2025-03-31,9,RISK,0.19278957760148585
2025-04-30,9,RISK,0.16470653339517277
2025-05-30,9,RISK,0.16655189650299076
2025-06-30,9,RISK,0.16839275346556978
2025-07-31,9,RISK,0.14841020720203263
2025-08-29,9,RISK,0.16265935482540386
2025-09-30,9,RISK,0.16119405991831287
2025-10-31,9,RISK,0.1525409105548029
2025-11-28,9,RISK,0.16004698152039576
2025-12-31,9,RISK,0.1467969582178283
2026-01-30,9,RISK,0.16122765047845533
2026-02-27,9,RISK,0.16355723769347844
2026-03-31,9,RISK,0.17348613282899272
2026-04-30,9,RISK,0.17008481095892705
2026-05-29,9,RISK,0.15380026526083074
2026-06-30,9,RISK,0.1461278855364027
2026-07-31,9,RISK,0.16130302538986646
2026-08-31,9,RISK,0.18395580110563414
