lookback,cagr,max_drawdown,sharpe,calmar,turnover,trade_count,average_holding_days
80.00000000,0.07980693,-0.44156964,0.48252495,0.18073465,67.50000000,228.00000000,72.11842105
120.00000000,0.06764616,-0.48994571,0.42433314,0.13806868,59.50000000,221.00000000,85.75113122
160.00000000,0.07876611,-0.45171446,0.47666527,0.17437145,49.00000000,205.00000000,103.00487805
252.00000000,0.08316746,-0.46813015,0.49120435,0.17765884,38.00000000,193.00000000,124.05699482
