total_per_side_bps,cagr,max_drawdown,sharpe,calmar,turnover,trade_count,average_holding_days
15,0.07008148,-0.26181326,0.72624889,0.26767736,25.84682540,508.00000000,291.71062992
30,0.06382285,-0.27190656,0.66792881,0.23472346,25.84682540,514.00000000,291.58560311
50,0.05554674,-0.28514119,0.58985784,0.19480433,25.84682540,514.00000000,292.58171206
