execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS,511260.SS,511880.SS
2017-11-01,0.097019967017856201,0.082668852755173994,0.14485599754748146,0.1086818047121946,0.087686521087399563,0,0.12287533630630657,0.35621152057358768,0,0,0,0
2017-12-01,0.082531839083904296,0.084156556969753771,0.17350898898361394,0.11868140750082408,0.086120768927851879,0,0.121362443236116,0.33363799529793603,0,0,0,0
2018-01-02,0.082041250870904414,0.094864312524844577,0.12669521351591589,0.10521583536605882,0.080031650970945126,0,0.11789056223435931,0.39326117451697185,0,0,0,0
2018-02-01,0.090454328954236704,0.10689639286470701,0.13540749560785378,0.1165114519051781,0.09599676685835358,0,0.12733856971855498,0.32739499409111589,0,0,0,0
2018-03-01,0.094455653116160776,0.092125938158252416,0.088104434111864374,0.079614925940223236,0.086203887317488431,0,0.11303789698847008,0.44645726436754063,0,0,0,0
2018-04-02,0.086793232011910887,0.078271431650245471,0.079754577345611255,0.064840784404151905,0.079354080768190713,0,0.10415046943405169,0.50683542438583806,0,0,0,0
2018-05-02,0.078695653946731697,0.069664548757521469,0.073979511586284075,0.057168681697739011,0.073534317706846139,0,0.094777575395204358,0.55217971090967333,0,0,0,0
2018-06-01,0.070974064178928292,0.06586131817816121,0.084953544249968163,0.054325668871985484,0.073907513364381186,0,0.10354147308244545,0.54643641807413035,0,0,0,0
2018-07-02,0.068682827125868151,0.059747659628187212,0.10312896177524382,0.085121473663943001,0.083866761964156211,0,0.10603277756420339,0.49341953827839824,0,0,0,0
2018-08-01,0.063818564937908606,0.055737641638784023,0.096708641196191367,0.081233474146635037,0.074163056595087803,0,0.10224088298117555,0.52609773850421759,0,0,0,0
2018-09-03,0.072029717123925044,0.062696242784459802,0.11661164837292472,0.098710039128971166,0.083215934584373985,0,0.11526787650743657,0.45146854149790872,0,0,0,0
2018-10-08,0.069547018057687468,0.080323662515460484,0.14474371205614669,0.10817698916282455,0.077032875874900889,0,0.11371884288966634,0.40645689944331359,0,0,0,0
2018-11-01,0.055239923801276028,0.058918294505857893,0.10786613914452065,0.078376914341169904,0.065334202424742596,0,0.08606929477157646,0.54819523101085654,0,0,0,0
2018-12-03,0.048368411778116932,0.055007335486648858,0.092115141387411267,0.061128169081035875,0.05571135618098419,0,0.075239426555859509,0.61243015952994329,0,0,0,0
2019-01-02,0.046339964915694372,0.050939585438354675,0.064760864357746639,0.044527301234967252,0.053239460577249723,0,0.076690822412651988,0.66350200106333546,0,0,0,0
2019-02-01,0.063008683613816285,0.071783253207704123,0.056215089455979403,0.042489343090232411,0.060978337616825626,0,0.093596181144994045,0.61192911187044807,0,0,0,0
2019-03-01,0.05430727788343187,0.056711828352167579,0.062166424908512007,0.053095358133552609,0.084006729575311481,0,0.098444301977034132,0.59126807916999036,0,0,0,0
2019-04-01,0.059877934182540046,0.059909822933944062,0.087708355317814568,0.070673101304069758,0.10073357464481487,0,0.12603399812485683,0.49506321349195975,0,0,0,0
2019-05-06,0.050815963784306036,0.048405940480937548,0.11107670928636482,0.094161912485669158,0.11033476359204476,0,0.15480704868261788,0.43039766168805965,0,0,0,0
2019-06-03,0.048926300098479723,0.042174090654760375,0.10057394093591693,0.076324717116837359,0.093161777241634811,0,0.1480134392858232,0.49082573466654755,0,0,0,0
2019-07-01,0.065553100342112341,0.061084840140831424,0.13025498084942069,0.092640049127080543,0.12443476387165725,0,0.16503532919490074,0.36099693647399705,0,0,0,0
2019-08-01,0.098080263687470332,0.090657342017914297,0.14369130431789595,0.09935594746191051,0.11802473147856052,0,0.15763620861718655,0.29255420241906194,0,0,0,0
2019-09-02,0.10802543948553039,0.091902450217798415,0.12883064799436347,0.10217897482102667,0.10915982040406767,0,0.18831908315420171,0.27158358392301163,0,0,0,0
2019-10-08,0.10121975010836105,0.073964014554405891,0.11478300105351533,0.094804162315204291,0.092982435364156527,0.15956194421900563,0.15310557069533692,0.20957912169001447,0,0,0,0
2019-11-01,0.100074424351348,0.072958981677971463,0.10557476806443776,0.093879187210381784,0.086564112593908477,0.16552241650970889,0.14587517759042179,0.22955093200182186,0,0,0,0
2019-12-02,0.090635014376604747,0.079503229106024392,0.14209650927207768,0.12888824288512846,0.07709949744296879,0.16654059909319779,0.11548317491322614,0.19975373291077195,0,0,0,0
2020-01-02,0.086231810102125522,0.086762744187017182,0.12013729708514641,0.10869258726023524,0.075372209244958327,0.1699257699572557,0.10450733235482906,0.24837024980843253,0,0,0,0
2020-02-03,0.080570672891231349,0.079480351757713924,0.11164394817353784,0.11281940669271574,0.073044383437723751,0.16587264083894054,0.091559756740698078,0.28500883946743877,0,0,0,0
2020-03-02,0.061798844396407336,0.054337302421728295,0.078171737991023477,0.050760442308149183,0.097555903964574531,0.19064067874540783,0.088695106313325736,0.37803998385938364,0,0,0,0
2020-04-01,0.094207410458738441,0.094904383449755603,0.08627480732892262,0.06934239855388856,0.11171719786210174,0.089999431488704901,0.071280053676733859,0.26937066596591647,0.11290365121523788,0,0,0
2020-05-06,0.11769733143090859,0.11354647059991574,0.078838317032752639,0.073866254956926294,0.11302437064869544,0.083336504677184134,0.065848076100974498,0.22503121976343915,0.1288114547892035,0,0,0
2020-06-01,0.12771590590340545,0.1302695947944115,0.08154846603511294,0.079073405144868783,0.10516188643904271,0.077593257367581145,0.061535334327042862,0.20867954120630502,0.12842260878222966,0,0,0
2020-07-01,0.12814847164949392,0.1208318662414902,0.064064705280576589,0.080140518613121006,0.076259742475123793,0.068760650918823593,0.049795516139365149,0.25679582701858172,0.15520270166342404,0,0,0
2020-08-03,0.07193731863932161,0.081591022509519773,0.07947938237560645,0.083812292591167487,0.07831802886491962,0.089342397560216752,0.066207462325472005,0.33263453238082652,0.11667756275294978,0,0,0
2020-09-01,0.076504131081821233,0.085508811467864834,0.084914774660520498,0.090491944108360992,0.10836929971606808,0.10818941455601468,0.088944869311051555,0.2072400162696067,0.14983673882869147,0,0,0
2020-10-09,0.081589653018940861,0.082419070458519955,0.073995504546965102,0.046404884458078749,0.15075930251316619,0.17133544744013918,0.10270495862330196,0.16320195240802773,0.12758922653286031,0,0,0
2020-11-02,0.091146880007116446,0.093640521382515926,0.059951477895618388,0.039242823675798608,0.13548743098671634,0.18494483348496168,0.095364507507558913,0.13606365178681148,0.16415787327290229,0,0,0
2020-12-01,0.091842272378472867,0.095527475391862016,0.063418153322971099,0.042408585149697385,0.12460840055805882,0.14423853889121879,0.088032588278394663,0.20477682703973057,0.14514715898959393,0,0,0
2021-01-04,0.090557039734866882,0.085153719616850129,0.094134121136148483,0.070723456214400376,0.11249031404127142,0.1277105658340324,0.09725802100504366,0.16751344538964769,0.15445931702773905,0,0,0
2021-02-01,0.081957350838904125,0.096967582891310758,0.11792404852461387,0.085935341782073987,0.11994194241299062,0.10567793463930683,0.09379465277327341,0.17517614920696972,0.12262499693055669,0,0,0
2021-03-01,0.082271283647458546,0.107672143686771,0.12303306519644586,0.088704203307668913,0.092380216821355665,0.091512355969073242,0.10416134501811043,0.1994113056999797,0.11085408065313679,0,0,0
2021-04-01,0.073098115626391166,0.10702653767153225,0.12237010059698598,0.086345577478516913,0.085374471656597437,0.092080796809878393,0.11190439925938639,0.22903538356570133,0.09276461733501018,0,0,0
2021-05-06,0.076928447096658914,0.11817776170822138,0.13705563165671206,0.08378737399832091,0.083147988503971565,0.088706310017097362,0.12455751881843112,0.19748653351284962,0.090152434687737093,0,0,0
2021-06-01,0.081903794852042161,0.12940001805851162,0.11985900653096852,0.081392806724064209,0.091147990049449706,0.10776704112056494,0.11866818721448735,0.18954358376463001,0.080317571685281516,0,0,0
2021-07-01,0.10747857121370305,0.15512848906652446,0.10707922727004592,0.080376569469258294,0.10484023046601638,0.10083475269098499,0.11097791007906893,0.1540149060412675,0.07926934370313056,0,0,0
