series,cagr,max_drawdown,sharpe,calmar,turnover,trade_count,average_holding_days,worst_year,target_change_count,annualized_target_change_count
S8A_EQUITY_BOND_TREND_V1,0.01796498837205407,-0.5192069571727083,0.19325435058898016,0.034600823667465266,22.0,21.0,230.33333333333334,-0.2713819871673584,22.0,1.5441006917755573
510300_BUY_AND_HOLD,0.058803661199587465,-0.45450041246591655,0.37843445135830456,0.12938087532318182,1.0,1.0,5204.0,-0.24159919553628972,1.0,0.07018639508070715
STATIC_50_50_EQUITY_BOND,0.050113494682569426,-0.2550129720499351,0.5142437993939271,0.19651351176267418,1.0,14.0,2986.4285714285716,-0.09047492580634675,15.0,1.0527959262106072
