window_years,window_start,window_end,cagr,max_drawdown,sharpe
3,2020-12-29,2023-12-29,0.04076771,-0.06366048,0.59842317
3,2021-02-01,2024-01-31,0.04404965,-0.06366048,0.64270311
3,2021-03-01,2024-02-29,0.04324515,-0.06366048,0.65746012
3,2021-03-29,2024-03-29,0.05778867,-0.06366048,0.89396883
3,2021-04-30,2024-04-30,0.04547263,-0.06366048,0.71115863
3,2021-05-31,2024-05-31,0.04722218,-0.06366048,0.73611906
3,2021-06-28,2024-06-28,0.04763389,-0.06366048,0.74023373
3,2021-08-02,2024-07-31,0.04815690,-0.06366048,0.72829684
3,2021-08-30,2024-08-30,0.04539478,-0.08375934,0.64339453
3,2021-09-30,2024-09-30,0.05858201,-0.08375934,0.79922950
3,2021-11-01,2024-10-31,0.05128193,-0.08375934,0.69244480
3,2021-11-29,2024-11-29,0.05083011,-0.08375934,0.67873477
3,2021-12-31,2024-12-31,0.05057078,-0.08375934,0.67427199
3,2022-01-27,2025-01-27,0.06892073,-0.08375934,0.87851741
3,2022-02-28,2025-02-28,0.06597027,-0.08375934,0.83038150
3,2022-03-31,2025-03-31,0.06116642,-0.08375934,0.77364090
3,2022-05-05,2025-04-30,0.05835984,-0.08375934,0.70421049
3,2022-05-30,2025-05-30,0.06155485,-0.08375934,0.73913757
3,2022-06-30,2025-06-30,0.07877466,-0.08375934,0.92505584
3,2022-08-01,2025-07-31,0.08804174,-0.08375934,1.01730708
3,2022-08-29,2025-08-29,0.10018755,-0.08375934,1.13229801
3,2022-09-30,2025-09-30,0.12264132,-0.08375934,1.34947625
3,2022-10-31,2025-10-31,0.13826366,-0.08375934,1.44440012
3,2022-11-28,2025-11-28,0.13314154,-0.08375934,1.34789348
3,2023-01-03,2025-12-31,0.14548833,-0.08375934,1.44416718
3,2023-01-30,2026-01-30,0.15627363,-0.08375934,1.49819856
3,2023-02-27,2026-02-27,0.17075296,-0.08375934,1.55244042
3,2023-03-31,2026-03-31,0.11965126,-0.13106185,1.07560910
3,2023-05-04,2026-04-30,0.13583881,-0.13106185,1.18434372
3,2023-05-29,2026-05-29,0.14551659,-0.13106185,1.26220641
3,2023-06-30,2026-06-30,0.13820079,-0.13106185,1.17287416
3,2023-07-31,2026-07-31,0.11517460,-0.13106185,0.97840340
3,2023-08-31,2026-08-31,0.13258216,-0.13106185,1.11749207
5,2013-07-01,2018-06-29,0.07978542,-0.13195834,0.87943115
5,2013-07-31,2018-07-31,0.08503450,-0.13195834,0.93177525
5,2013-09-02,2018-08-31,0.08975916,-0.13195834,0.97494681
5,2013-09-30,2018-09-28,0.08965712,-0.13195834,0.97274588
5,2013-10-31,2018-10-31,0.08870322,-0.13195834,0.97281189
5,2013-12-02,2018-11-30,0.08886474,-0.13195834,0.97594408
5,2013-12-30,2018-12-28,0.09548513,-0.13195834,1.04772141
5,2014-02-07,2019-01-31,0.10205257,-0.13195834,1.11795523
5,2014-02-28,2019-02-28,0.10026505,-0.13195834,1.10827493
5,2014-03-31,2019-03-29,0.10852488,-0.13195834,1.19185061
5,2014-04-30,2019-04-30,0.11260762,-0.13195834,1.23603076
5,2014-06-03,2019-05-31,0.09536417,-0.13195834,1.04627318
5,2014-06-30,2019-06-28,0.10227839,-0.13195834,1.10959145
5,2014-07-31,2019-07-31,0.09710376,-0.13195834,1.05332316
5,2014-09-01,2019-08-30,0.09415502,-0.13195834,1.01792431
5,2014-09-30,2019-09-30,0.09334287,-0.13195834,1.01501292
5,2014-10-31,2019-10-31,0.09325511,-0.13195834,1.01965391
5,2014-12-01,2019-11-29,0.08776973,-0.13195834,0.96816941
5,2014-12-31,2019-12-31,0.08290132,-0.13195834,0.93777006
5,2015-01-23,2020-01-23,0.07856415,-0.13195834,0.90197648
5,2015-03-02,2020-02-28,0.07111299,-0.13195834,0.79098339
5,2015-03-31,2020-03-31,0.05064625,-0.13490287,0.56305081
5,2015-04-30,2020-04-30,0.04422613,-0.13490287,0.51142368
5,2015-05-29,2020-05-29,0.04207941,-0.13490287,0.49465855
5,2015-06-30,2020-06-30,0.04976246,-0.13490287,0.58126645
5,2015-07-31,2020-07-31,0.06632905,-0.13490287,0.79229957
5,2015-08-31,2020-08-31,0.08442640,-0.13490287,1.01243751
5,2015-09-30,2020-09-30,0.07746453,-0.13490287,0.90539333
5,2015-10-30,2020-10-30,0.06748304,-0.13490287,0.79319090
5,2015-11-30,2020-11-30,0.07261303,-0.13490287,0.84528807
5,2015-12-31,2020-12-31,0.07402931,-0.13490287,0.85822667
5,2016-01-29,2021-01-29,0.07983463,-0.13490287,0.91149386
5,2016-02-26,2021-02-26,0.07983364,-0.13490287,0.89701312
5,2016-03-31,2021-03-31,0.07824712,-0.13490287,0.86744177
5,2016-05-03,2021-04-30,0.08302831,-0.13490287,0.91070518
5,2016-05-31,2021-05-31,0.08402974,-0.13490287,0.91718721
5,2016-06-30,2021-06-30,0.08500239,-0.13490287,0.92476120
5,2016-08-01,2021-07-30,0.07332645,-0.13490287,0.80523431
5,2016-08-31,2021-08-31,0.07683785,-0.13490287,0.83989967
5,2016-09-30,2021-09-30,0.07234654,-0.13490287,0.80249869
5,2016-10-31,2021-10-29,0.07006835,-0.13490287,0.77917459
5,2016-11-30,2021-11-30,0.06811701,-0.13490287,0.76572124
5,2017-01-03,2021-12-31,0.07632247,-0.13490287,0.85613870
5,2017-02-03,2022-01-28,0.06761031,-0.13490287,0.76466651
5,2017-02-28,2022-02-28,0.06501898,-0.13490287,0.74061230
5,2017-03-31,2022-03-31,0.06327302,-0.13490287,0.72596847
5,2017-05-02,2022-04-29,0.06396239,-0.13490287,0.73372070
5,2017-05-31,2022-05-31,0.05988102,-0.13490287,0.69410204
5,2017-06-30,2022-06-30,0.05633471,-0.13490287,0.65802975
5,2017-07-31,2022-07-29,0.05271009,-0.13490287,0.61998426
5,2017-08-31,2022-08-31,0.05282730,-0.13490287,0.62446098
5,2017-10-09,2022-09-30,0.04793450,-0.13490287,0.57066210
5,2017-10-31,2022-10-31,0.04689902,-0.13490287,0.56217018
5,2017-11-30,2022-11-30,0.04620850,-0.13490287,0.55696626
5,2018-01-02,2022-12-30,0.04181443,-0.13490287,0.50939978
5,2018-01-31,2023-01-31,0.04085526,-0.13490287,0.50146174
5,2018-02-28,2023-02-28,0.04407065,-0.13490287,0.54640486
5,2018-04-02,2023-03-31,0.05400127,-0.13490287,0.65225695
5,2018-05-02,2023-04-28,0.05327390,-0.13490287,0.64089345
5,2018-05-31,2023-05-31,0.05221311,-0.13490287,0.62414124
5,2018-07-02,2023-06-30,0.05660286,-0.13490287,0.67152467
5,2018-07-31,2023-07-31,0.05568538,-0.13490287,0.66057157
5,2018-08-31,2023-08-31,0.04829406,-0.13490287,0.57664086
5,2018-09-28,2023-09-28,0.04250952,-0.13490287,0.51347416
5,2018-10-31,2023-10-31,0.04555138,-0.13490287,0.54791732
5,2018-11-30,2023-11-30,0.04849870,-0.13490287,0.58072707
5,2019-01-02,2023-12-29,0.05789354,-0.13490287,0.68139540
5,2019-01-31,2024-01-31,0.06131641,-0.13490287,0.70996908
5,2019-02-28,2024-02-29,0.06643445,-0.13490287,0.76170451
5,2019-03-29,2024-03-29,0.06890494,-0.13490287,0.79140918
5,2019-04-30,2024-04-30,0.06424152,-0.13490287,0.74130117
5,2019-05-31,2024-05-31,0.07561867,-0.13490287,0.86686507
5,2019-06-28,2024-06-28,0.07066986,-0.13490287,0.81593392
5,2019-07-31,2024-07-31,0.06886654,-0.13490287,0.79158388
5,2019-08-30,2024-08-30,0.06918289,-0.13490287,0.78069096
5,2019-09-30,2024-09-30,0.07376148,-0.13490287,0.82291217
5,2019-10-31,2024-10-31,0.06765305,-0.13490287,0.75505475
5,2019-11-29,2024-11-29,0.06702389,-0.13490287,0.74562539
5,2019-12-31,2024-12-31,0.06428529,-0.13490287,0.71614823
5,2020-02-03,2025-01-27,0.07524623,-0.13490287,0.82908205
5,2020-02-28,2025-02-28,0.07120813,-0.10299263,0.80979721
5,2020-03-31,2025-03-31,0.08077353,-0.08523851,0.94960673
5,2020-04-30,2025-04-30,0.06927858,-0.08523851,0.80688531
