signal_date,positive_asset_count,risk_budget,fallback_weight
2016-11-30,6,0.6666666666666666,0.33333333333333337
2016-12-30,6,0.6666666666666666,0.33333333333333337
2017-01-26,5,0.5555555555555556,0.4444444444444444
2017-02-28,7,0.7777777777777778,0.2222222222222222
2017-03-31,7,0.7777777777777778,0.2222222222222222
2017-04-28,6,0.6666666666666666,0.33333333333333337
2017-05-31,5,0.5555555555555556,0.4444444444444444
2017-06-30,4,0.4444444444444444,0.5555555555555556
2017-07-31,6,0.6666666666666666,0.33333333333333337
2017-08-31,6,0.6666666666666666,0.33333333333333337
2017-09-29,6,0.6666666666666666,0.33333333333333337
2017-10-31,6,0.6666666666666666,0.33333333333333337
2017-11-30,5,0.5555555555555556,0.4444444444444444
2017-12-29,5,0.5555555555555556,0.4444444444444444
2018-01-31,5,0.5555555555555556,0.4444444444444444
2018-02-28,4,0.4444444444444444,0.5555555555555556
2018-03-30,1,0.1111111111111111,0.8888888888888888
2018-04-27,2,0.2222222222222222,0.7777777777777778
2018-05-31,3,0.3333333333333333,0.6666666666666667
2018-06-29,2,0.2222222222222222,0.7777777777777778
2018-07-31,4,0.4444444444444444,0.5555555555555556
2018-08-31,2,0.2222222222222222,0.7777777777777778
2018-09-28,2,0.2222222222222222,0.7777777777777778
2018-10-31,3,0.3333333333333333,0.6666666666666667
2018-11-30,3,0.3333333333333333,0.6666666666666667
2018-12-28,1,0.1111111111111111,0.8888888888888888
2019-01-31,2,0.2222222222222222,0.7777777777777778
2019-02-28,5,0.5555555555555556,0.4444444444444444
2019-03-29,6,0.6666666666666666,0.33333333333333337
2019-04-30,7,0.7777777777777778,0.2222222222222222
2019-05-31,5,0.5555555555555556,0.4444444444444444
2019-06-28,7,0.7777777777777778,0.2222222222222222
2019-07-31,7,0.7777777777777778,0.2222222222222222
2019-08-30,6,0.6666666666666666,0.33333333333333337
2019-09-30,6,0.6666666666666666,0.33333333333333337
2019-10-31,5,0.5555555555555556,0.4444444444444444
2019-11-29,5,0.5555555555555556,0.4444444444444444
2019-12-31,7,0.7777777777777778,0.2222222222222222
2020-01-23,7,0.7777777777777778,0.2222222222222222
2020-02-28,5,0.5555555555555556,0.4444444444444444
2020-03-31,2,0.2222222222222222,0.7777777777777778
2020-04-30,4,0.4444444444444444,0.5555555555555556
2020-05-29,5,0.5555555555555556,0.4444444444444444
2020-06-30,7,0.7777777777777778,0.2222222222222222
2020-07-31,7,0.7777777777777778,0.2222222222222222
2020-08-31,7,0.7777777777777778,0.2222222222222222
2020-09-30,7,0.7777777777777778,0.2222222222222222
2020-10-30,6,0.6666666666666666,0.33333333333333337
2020-11-30,8,0.8888888888888888,0.11111111111111116
2020-12-31,8,0.8888888888888888,0.11111111111111116
2021-01-29,8,0.8888888888888888,0.11111111111111116
2021-02-26,8,0.8888888888888888,0.11111111111111116
2021-03-31,7,0.7777777777777778,0.2222222222222222
2021-04-30,8,0.8888888888888888,0.11111111111111116
2021-05-31,8,0.8888888888888888,0.11111111111111116
2021-06-30,8,0.8888888888888888,0.11111111111111116
2021-07-30,5,0.5555555555555556,0.4444444444444444
2021-08-31,5,0.5555555555555556,0.4444444444444444
2021-09-30,4,0.4444444444444444,0.5555555555555556
2021-10-29,4,0.4444444444444444,0.5555555555555556
2021-11-30,4,0.4444444444444444,0.5555555555555556
2021-12-31,4,0.4444444444444444,0.5555555555555556
2022-01-28,1,0.1111111111111111,0.8888888888888888
2022-02-28,2,0.2222222222222222,0.7777777777777778
2022-03-31,3,0.3333333333333333,0.6666666666666667
2022-04-29,2,0.2222222222222222,0.7777777777777778
2022-05-31,2,0.2222222222222222,0.7777777777777778
2022-06-30,1,0.1111111111111111,0.8888888888888888
2022-07-29,1,0.1111111111111111,0.8888888888888888
2022-08-31,0,0.0,1.0
2022-09-30,1,0.1111111111111111,0.8888888888888888
2022-10-31,2,0.2222222222222222,0.7777777777777778
2022-11-30,6,0.6666666666666666,0.33333333333333337
2022-12-30,4,0.4444444444444444,0.5555555555555556
2023-01-31,7,0.7777777777777778,0.2222222222222222
2023-02-28,9,1.0,0.0
2023-03-31,9,1.0,0.0
