series,series_kind,submission_policy,s2_share,s4c_share,evaluation_start,evaluation_end,cagr,max_drawdown,sharpe,calmar,worst_year,turnover,trade_count,average_holding_days,submission_count,annualized_submission_count,actual_order_days,annualized_action_days
S2_R1_committed_anchor,component_anchor,"SIGNAL_CHANGE_ONLY (committed R1, 103 rows)",,,2013-04-01,2026-08-31,0.06571259,-0.26181326,0.64813384,0.25099031,-0.16284072,25.33520995,379,292.72823219,103,7.67770408,103,7.67770408
S4C_R1_committed_anchor,component_anchor,"MONTHLY_TARGET_SUBMISSION (committed R1, 161 rows)",,,2013-04-01,2026-08-31,0.11637516,-0.18351236,1.09111908,0.63415431,-0.08073119,11.46047720,575,2091.41739130,161,12.00107143,149,11.10658163
BLEND_S2_100_S4C_00,blend,DERIVED_UNION_TARGET_SUBMISSION,1.00000000,0.00000000,2013-04-01,2026-08-31,0.06714162,-0.26181326,0.67476138,0.25644852,-0.16284072,26.02074454,523,296.44933078,161,12.00107143,157,11.70290816
BLEND_S2_75_S4C_25,blend,DERIVED_UNION_TARGET_SUBMISSION,0.75000000,0.25000000,2013-04-01,2026-08-31,0.08016662,-0.20560953,0.81715541,0.38989740,-0.12975469,21.19045078,684,1929.26461988,161,12.00107143,159,11.85198980
BLEND_S2_50_S4C_50,blend,DERIVED_UNION_TARGET_SUBMISSION,0.50000000,0.50000000,2013-04-01,2026-08-31,0.09269618,-0.15916464,0.94017620,0.58239180,-0.09724059,17.22821379,676,1918.20118343,161,12.00107143,159,11.85198980
BLEND_S2_25_S4C_75,blend,DERIVED_UNION_TARGET_SUBMISSION,0.25000000,0.75000000,2013-04-01,2026-08-31,0.10484870,-0.17128153,1.03357850,0.61214248,-0.07115779,13.66401931,667,1907.26536732,161,12.00107143,159,11.85198980
BLEND_S2_00_S4C_100,blend,DERIVED_UNION_TARGET_SUBMISSION,0.00000000,1.00000000,2013-04-01,2026-08-31,0.11637516,-0.18351236,1.09111908,0.63415431,-0.08073119,11.46047720,575,2091.41739130,161,12.00107143,149,11.10658163
